chain_id,rank,date,iso_date,direction,tunnel_track,length,start_time,end_time,span_s,total_gained_s,max_gained_s,mean_headway_s,min_headway_s,starter_train,terminator_train,members,service_mix,recurrence_key,cast_cluster,thr_s,hw_max_s,group_key,selection
20250207-N2S-0_2-1714,1,07FEB2025,2025-02-07,N2S,0/2,12,17:14:03,17:51:13,2230,3817,569,202.7,137,2288,2087,2288|1538|8013|1738|438|14|9364|3239|2839|3738|8007|2087,IC:6|L:2|P:2|ICE:1|EURST:1,14|1538|1738|2087|2288|2839|3239|3738|438|8007|8013|9364,C1,60,300,date+direction+tunnel_track,"top 10 by length, ties by total delay_gained"
20250212-N2S-0_2-1719,2,12FEB2025,2025-02-12,N2S,0/2,12,17:19:20,17:54:08,2088,3242,371,189.8,144,8013,539,8013|1938|2238|438|14|8002|3239|2839|3738|8007|2087|539,IC:7|P:3|ICE:1|L:1,14|1938|2087|2238|2839|3239|3738|438|539|8002|8007|8013,C1,60,300,date+direction+tunnel_track,"top 10 by length, ties by total delay_gained"
20250219-N2S-0_2-1714,3,19FEB2025,2025-02-19,N2S,0/2,12,17:14:48,17:53:51,2343,2843,386,213.0,129,1538,539,1538|2288|8013|438|14|8002|3239|2839|3738|8007|2087|539,IC:6|P:3|L:2|ICE:1,14|1538|2087|2288|2839|3239|3738|438|539|8002|8007|8013,C1,60,300,date+direction+tunnel_track,"top 10 by length, ties by total delay_gained"
20250213-S2N-0_3-0837,4,13FEB2025,2025-02-13,S2N,0/3,10,08:37:30,09:10:11,1961,3829,501,217.9,143,1507,7014,1507|3657|9223|2257|6557|1707|5107|1907|2409|7014,IC:6|L:3|P:1,1507|1707|1907|2257|2409|3657|5107|6557|7014|9223,C2,60,300,date+direction+tunnel_track,"top 10 by length, ties by total delay_gained"
20250211-N2S-0_2-1727,5,11FEB2025,2025-02-11,N2S,0/2,10,17:27:19,17:56:34,1755,3701,541,195.0,137,438,539,438|2238|8002|14|3239|2839|3738|8007|2087|539,IC:6|P:2|ICE:1|L:1,14|2087|2238|2839|3239|3738|438|539|8002|8007,C1,60,300,date+direction+tunnel_track,"top 10 by length, ties by total delay_gained"
20250203-N2S-0_6-0847,6,03FEB2025,2025-02-03,N2S,0/6,10,08:47:04,09:20:25,2001,3433,653,222.3,135,3629,3430,3629|1779|3779|7209|530|3129|2428|2030|1980|3430,IC:6|L:3|P:1,1779|1980|2030|2428|3129|3430|3629|3779|530|7209,C3,60,300,date+direction+tunnel_track,"top 10 by length, ties by total delay_gained"
20250214-S2N-0_3-0836,7,14FEB2025,2025-02-14,S2N,0/3,10,08:36:01,09:07:18,1877,2791,439,208.6,132,3657,7014,3657|2108|1507|1707|9223|6557|1907|5107|2409|7014,IC:7|L:2|P:1,1507|1707|1907|2108|2409|3657|5107|6557|7014|9223,C2,60,300,date+direction+tunnel_track,"top 10 by length, ties by total delay_gained"
20250214-N2S-0_2-0751,8,14FEB2025,2025-02-14,N2S,0/2,10,07:51:59,08:22:58,1859,1976,358,206.6,129,2077,429,2077|7444|7305|9310|9512|2279|2229|1529|7076|429,P:3|IC:3|L:2|EURST:1|INT:1,1529|2077|2229|2279|429|7076|7305|7444|9310|9512,C4,60,300,date+direction+tunnel_track,"top 10 by length, ties by total delay_gained"
20250205-S2N-0_3-0840,9,05FEB2025,2025-02-05,S2N,0/3,9,08:40:32,09:04:07,1415,2889,523,176.9,80,3657,2409,3657|1507|9223|1707|6557|1907|7009|5107|2409,IC:6|L:2|P:1,1507|1707|1907|2409|3657|5107|6557|7009|9223,C2,60,300,date+direction+tunnel_track,"top 10 by length, ties by total delay_gained"
20250220-S2N-0_3-0842,10,20FEB2025,2025-02-20,S2N,0/3,8,08:42:48,09:07:12,1464,4063,791,209.1,129,1507,7014,1507|9223|1707|6557|1907|7009|2409|7014,IC:5|P:2|L:1,1507|1707|1907|2409|6557|7009|7014|9223,C2,60,300,date+direction+tunnel_track,"top 10 by length, ties by total delay_gained"
